CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (R$)
RECORRM,2010-01-01T00:00:00-02:00,2904308,2010,Municípios,1378584.08
RECORRM,2010-01-01T00:00:00-02:00,2201309,2010,Municípios,2551077.62999999
RECORRM,2010-01-01T00:00:00-02:00,2200608,2010,Municípios,2691562.12
RECORRM,2010-01-01T00:00:00-02:00,2411056,2010,Municípios,4398903.59
RECORRM,2010-01-01T00:00:00-02:00,2206308,2010,Municípios,4802935.52
RECORRM,2010-01-01T00:00:00-02:00,1712157,2010,Municípios,5017632.92
RECORRM,2010-01-01T00:00:00-02:00,2411908,2010,Municípios,5116634.15
RECORRM,2010-01-01T00:00:00-02:00,1704600,2010,Municípios,5275379.95
RECORRM,2010-01-01T00:00:00-02:00,1720150,2010,Municípios,5283738.0
RECORRM,2010-01-01T00:00:00-02:00,2200954,2010,Municípios,5287283.4
RECORRM,2010-01-01T00:00:00-02:00,1702703,2010,Municípios,5434562.63
RECORRM,2010-01-01T00:00:00-02:00,1711803,2010,Municípios,5460620.38
RECORRM,2010-01-01T00:00:00-02:00,1715259,2010,Municípios,5555675.33
RECORRM,2010-01-01T00:00:00-02:00,1718659,2010,Municípios,5561903.01
RECORRM,2010-01-01T00:00:00-02:00,1715150,2010,Municípios,5574806.55
RECORRM,2010-01-01T00:00:00-02:00,2205540,2010,Municípios,5631674.01
RECORRM,2010-01-01T00:00:00-02:00,1720853,2010,Municípios,5661036.97
RECORRM,2010-01-01T00:00:00-02:00,2209450,2010,Municípios,5667710.48
RECORRM,2010-01-01T00:00:00-02:00,1720002,2010,Municípios,5669920.37
RECORRM,2010-01-01T00:00:00-02:00,2204154,2010,Municípios,5675705.43
RECORRM,2010-01-01T00:00:00-02:00,1720937,2010,Municípios,5706903.05
RECORRM,2010-01-01T00:00:00-02:00,2210375,2010,Municípios,5711734.47
RECORRM,2010-01-01T00:00:00-02:00,1600253,2010,Municípios,5715459.48
RECORRM,2010-01-01T00:00:00-02:00,1718006,2010,Municípios,5728867.8
RECORRM,2010-01-01T00:00:00-02:00,2210383,2010,Municípios,5729060.22
