NAME,ID,LEVEL,AREA,CAPITAL
(não definido),,,,
Brasil,0,Brasil,8531507.6,False
Região Norte,1,Regiões,3869637.9,False
Rondônia,11,Estados,238512.80000000005,False
Alta Floresta D'Oeste,1100015,Municípios,7111.8,False
Ariquemes,1100023,Municípios,4995.3,False
Cabixi,1100031,Municípios,1530.7,False
Cacoal,1100049,Municípios,3808.4,False
Cerejeiras,1100056,Municípios,2645.0,False
Colorado do Oeste,1100064,Municípios,1442.4,False
Corumbiara,1100072,Municípios,3079.7,False
Costa Marques,1100080,Municípios,5140.6,False
Espigão D'Oeste,110009,AMC 91-00,4523.8,False
Espigão D'Oeste,1100098,Municípios,4523.8,False
Porto Velho,11001,Microrregiões,65905.9,False
Guajará-Mirim,110010,AMC 91-00,25214.0,False
Guajará-Mirim,1100106,Municípios,25214.0,False
Jaru,1100114,Municípios,2909.6,False
Ji-Paraná,110012,AMC 91-00,6922.5,False
Ji-Paraná,1100122,Municípios,6922.5,False
Machadinho D'Oeste,1100130,Municípios,8556.1,False
Nova Brasilândia D'Oeste,110014,AMC 91-00,1159.9,False
Nova Brasilândia D'Oeste,1100148,Municípios,1159.9,False
Ouro Preto do Oeste,1100155,Municípios,1978.2,False
Pimenta Bueno,1100189,Municípios,6258.0,False
Guajará-Mirim,11002,Microrregiões,41315.6,False
Porto Velho,1100205,Municípios,34209.5,True
Presidente Médici,110025,AMC 91-00,1693.4,False
Presidente Médici,1100254,Municípios,1693.4,False
Rio Crespo,1100262,Municípios,1729.9,False
Rolim de Moura,1100288,Municípios,1487.3,False
Santa Luzia D'Oeste,110029,AMC 91-00,1187.7,False
Santa Luzia D'Oeste,1100296,Municípios,1187.7,False
Ariquemes,11003,Microrregiões,24500.100000000002,False
Vilhena,1100304,Municípios,11411.2,False
São Miguel do Guaporé,1100320,Municípios,7814.9,False
Nova Mamoré,110033,AMC 91-00,10113.4,False
Nova Mamoré,1100338,Municípios,10113.4,False
Alvorada D'Oeste,1100346,Municípios,2982.2,False
Alto Alegre dos Parecis,1100379,Municípios,3952.7,False
Ji-Paraná,11004,Microrregiões,25124.800000000003,False
Alto Paraíso,1100403,Municípios,2658.7,False
Buritis,1100452,Municípios,3286.6,False
Alvorada D'Oeste,11005,Microrregiões,15617.6,False
Novo Horizonte do Oeste,1100502,Municípios,833.5,False
Cacoal,11006,Microrregiões,24681.7,False
Cacaulândia,1100601,Municípios,2010.4,False
Vilhena,11007,Microrregiões,26540.4,False
Campo Novo de Rondônia,1100700,Municípios,3455.9,False
Colorado do Oeste,11008,Microrregiões,14826.699999999999,False
Candeias do Jamari,1100809,Municípios,6867.6,False
Castanheiras,1100908,Municípios,901.2,False
Chupinguaia,1100924,Municípios,5150.7,False
Cujubim,1100940,Municípios,4034.9,False
Madeira-Guaporé,1101,Mesorregiões,107221.5,False
Governador Jorge Teixeira,1101005,Municípios,5091.6,False
Itapuã do Oeste,1101104,Municípios,3938.0,False
Ministro Andreazza,1101203,Municípios,875.3,False
Mirante da Serra,1101302,Municípios,1253.7,False
Monte Negro,1101401,Municípios,1413.4,False
Nova União,1101435,Municípios,804.1,False
Parecis,1101450,Municípios,2558.6,False
Pimenteiras do Oeste,1101468,Municípios,6128.9,False
Primavera de Rondônia,1101476,Municípios,615.4,False
São Felipe D'Oeste,1101484,Municípios,546.5,False
São Francisco do Guaporé,1101492,Municípios,10961.0,False
Seringueiras,1101500,Municípios,3660.6,False
Teixeirópolis,1101559,Municípios,455.8,False
Theobroma,1101609,Municípios,2199.0,False
Urupá,1101708,Municípios,849.7,False
Vale do Anari,1101757,Municípios,3136.3,False
Vale do Paraíso,1101807,Municípios,967.2,False
Leste Rondoniense,1102,Mesorregiões,131291.29999999996,False
AMC2097 001,11AMC2097001,AMC 20-00,238512.80000000005,
AMC4097 001,11AMC4097001,AMC 40-00,238512.80000000005,
AMC6097 001,11AMC6097001,AMC 60-00,238512.80000000005,
AMC7097 001,11AMC7097001,AMC 70-00,238512.80000000005,False
AMC9197 001,11AMC9197001,AMC 91-00,4683.7,False
AMC9197 002,11AMC9197002,AMC 91-00,21369.1,False
AMC9197 003,11AMC9197003,AMC 91-00,27577.1,False
AMC9197 004,11AMC9197004,AMC 91-00,10200.2,False
AMC9197 005,11AMC9197005,AMC 91-00,9290.9,False
AMC9197 006,11AMC9197006,AMC 91-00,80292.59999999999,False
AMC9197 007,11AMC9197007,AMC 91-00,3222.0,False
AMC9197 008,11AMC9197008,AMC 91-00,31062.500000000004,False
Acre,12,Estados,153149.9,False
Acrelândia,1200013,Municípios,1609.7,False
Assis Brasil,120005,AMC 91-00,2884.2,False
Assis Brasil,1200054,Municípios,2884.2,False
Cruzeiro do Sul,12001,Microrregiões,29686.200000000004,False
Brasiléia,1200104,Municípios,4356.4,False
Bujari,1200138,Municípios,3397.9,False
Capixaba,1200179,Municípios,1724.0,False
Tarauacá,12002,Microrregiões,45537.6,False
Cruzeiro do Sul,1200203,Municípios,7881.5,False
Epitaciolândia,1200252,Municípios,1659.3,False
Sena Madureira,12003,Microrregiões,40823.600000000006,False
Feijó,120030,AMC 40-00,22721.6,
Feijó,120030,AMC 60-00,22721.6,
Feijó,120030,AMC 91-00,22721.6,False
Feijó,120030,AMC 70-00,22721.6,False
Feijó,1200302,Municípios,22721.6,False
Jordão,1200328,Municípios,6695.5,False
Mâncio Lima,1200336,Municípios,4692.2,False
Manoel Urbano,1200344,Municípios,9477.2,False
Marechal Thaumaturgo,1200351,Municípios,7700.6,False
Plácido de Castro,1200385,Municípios,2055.6,False
Porto Walter,1200393,Municípios,6093.4,False
Rio Branco,12004,Microrregiões,23479.0,False
Rio Branco,1200401,Municípios,9962.4,True
Rodrigues Alves,1200427,Municípios,3318.5,False
Santa Rosa do Purus,1200435,Municípios,6049.7,False
Senador Guiomard,1200450,Municípios,1806.4,False
Brasiléia,12005,Microrregiões,13623.5,False
Sena Madureira,120050,AMC 91-00,25296.7,False
Sena Madureira,1200500,Municípios,25296.7,False
Tarauacá,1200609,Municípios,16120.5,False
Xapuri,1200708,Municípios,4723.6,False
Porto Acre,1200807,Municípios,2923.0,False
Vale do Juruá,1201,Mesorregiões,75223.8,False
Vale do Acre,1202,Mesorregiões,77926.1,False
AMC2097 001,12AMC2097001,AMC 20-00,29686.200000000004,
AMC2097 002,12AMC2097002,AMC 20-00,77926.1,
AMC2097 003,12AMC2097003,AMC 20-00,45537.6,
AMC4097 001,12AMC4097001,AMC 40-00,29686.200000000004,
AMC4097 002,12AMC4097002,AMC 40-00,77926.1,
AMC4097 003,12AMC4097003,AMC 40-00,22816.0,
AMC6097 001,12AMC6097001,AMC 60-00,29686.200000000004,
AMC6097 002,12AMC6097002,AMC 60-00,77926.1,
AMC6097 003,12AMC6097003,AMC 60-00,22816.0,
AMC7097 001,12AMC7097001,AMC 70-00,29686.200000000004,False
AMC7097 002,12AMC7097002,AMC 70-00,77926.1,False
AMC7097 003,12AMC7097003,AMC 70-00,22816.0,False
AMC9197 001,12AMC9197001,AMC 91-00,29686.200000000004,False
