CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (Habitante)
POPTOT,2010-01-01T00:00:00-02:00,350720,2010,AMC 70-00,805.0
POPTOT,2010-01-01T00:00:00-02:00,350720,2010,AMC 91-00,805.0
POPTOT,2010-01-01T00:00:00-02:00,3507209,2010,Municípios,805.0
POPTOT,2010-01-01T00:00:00-02:00,316660,2010,AMC 70-00,815.0
POPTOT,2010-01-01T00:00:00-02:00,316660,2010,AMC 91-00,815.0
POPTOT,2010-01-01T00:00:00-02:00,3166600,2010,Municípios,815.0
POPTOT,2010-01-01T00:00:00-02:00,520120,2010,AMC 60-00,1017.0
POPTOT,2010-01-01T00:00:00-02:00,520120,2010,AMC 70-00,1017.0
POPTOT,2010-01-01T00:00:00-02:00,520120,2010,AMC 91-00,1017.0
POPTOT,2010-01-01T00:00:00-02:00,5201207,2010,Municípios,1020.0
POPTOT,2010-01-01T00:00:00-02:00,1715507,2010,Municípios,1037.0
POPTOT,2010-01-01T00:00:00-02:00,510120,2010,AMC 70-00,1095.0
POPTOT,2010-01-01T00:00:00-02:00,510120,2010,AMC 91-00,1095.0
POPTOT,2010-01-01T00:00:00-02:00,5101209,2010,Municípios,1096.0
POPTOT,2010-01-01T00:00:00-02:00,3532868,2010,Municípios,1125.0
POPTOT,2010-01-01T00:00:00-02:00,3115607,2010,Municípios,1210.0
POPTOT,2010-01-01T00:00:00-02:00,311560,2010,AMC 70-00,1212.0
POPTOT,2010-01-01T00:00:00-02:00,311560,2010,AMC 91-00,1212.0
POPTOT,2010-01-01T00:00:00-02:00,430066,2010,AMC 91-00,1216.0
POPTOT,2010-01-01T00:00:00-02:00,4300661,2010,Municípios,1216.0
POPTOT,2010-01-01T00:00:00-02:00,355590,2010,AMC 60-00,1251.0
POPTOT,2010-01-01T00:00:00-02:00,355590,2010,AMC 70-00,1251.0
POPTOT,2010-01-01T00:00:00-02:00,355590,2010,AMC 91-00,1251.0
POPTOT,2010-01-01T00:00:00-02:00,3555901,2010,Municípios,1251.0
POPTOT,2010-01-01T00:00:00-02:00,220630,2010,AMC 70-00,1253.0
POPTOT,2010-01-01T00:00:00-02:00,220630,2010,AMC 91-00,1253.0
POPTOT,2010-01-01T00:00:00-02:00,2206308,2010,Municípios,1253.0
POPTOT,2010-01-01T00:00:00-02:00,5212253,2010,Municípios,1254.0
POPTOT,2010-01-01T00:00:00-02:00,2510659,2010,Municípios,1256.0
POPTOT,2010-01-01T00:00:00-02:00,1704600,2010,Municípios,1335.0
POPTOT,2010-01-01T00:00:00-02:00,5107883,2010,Municípios,1365.0
POPTOT,2010-01-01T00:00:00-02:00,312790,2010,AMC 70-00,1373.0
POPTOT,2010-01-01T00:00:00-02:00,312790,2010,AMC 91-00,1373.0
POPTOT,2010-01-01T00:00:00-02:00,3127909,2010,Municípios,1373.0
POPTOT,2010-01-01T00:00:00-02:00,411260,2010,AMC 70-00,1409.0
POPTOT,2010-01-01T00:00:00-02:00,411260,2010,AMC 91-00,1409.0
POPTOT,2010-01-01T00:00:00-02:00,4112603,2010,Municípios,1409.0
POPTOT,2010-01-01T00:00:00-02:00,520420,2010,AMC 60-00,1417.0
POPTOT,2010-01-01T00:00:00-02:00,520420,2010,AMC 70-00,1417.0
POPTOT,2010-01-01T00:00:00-02:00,520420,2010,AMC 91-00,1417.0
POPTOT,2010-01-01T00:00:00-02:00,5204201,2010,Municípios,1417.0
POPTOT,2010-01-01T00:00:00-02:00,4116505,2010,Municípios,1431.0
POPTOT,2010-01-01T00:00:00-02:00,411650,2010,AMC 70-00,1433.0
POPTOT,2010-01-01T00:00:00-02:00,411650,2010,AMC 91-00,1433.0
POPTOT,2010-01-01T00:00:00-02:00,1720150,2010,Municípios,1437.0
POPTOT,2010-01-01T00:00:00-02:00,312340,2010,AMC 70-00,1440.0
POPTOT,2010-01-01T00:00:00-02:00,312340,2010,AMC 91-00,1440.0
POPTOT,2010-01-01T00:00:00-02:00,3123403,2010,Municípios,1440.0
POPTOT,2010-01-01T00:00:00-02:00,3547650,2010,Municípios,1447.0
POPTOT,2010-01-01T00:00:00-02:00,4215695,2010,Municípios,1465.0
POPTOT,2010-01-01T00:00:00-02:00,4322350,2010,Municípios,1487.0
POPTOT,2010-01-01T00:00:00-02:00,4209458,2010,Municípios,1490.0
POPTOT,2010-01-01T00:00:00-02:00,4306924,2010,Municípios,1527.0
POPTOT,2010-01-01T00:00:00-02:00,4305835,2010,Municípios,1528.0
POPTOT,2010-01-01T00:00:00-02:00,431235,2010,AMC 91-00,1542.0
POPTOT,2010-01-01T00:00:00-02:00,4312351,2010,Municípios,1542.0
POPTOT,2010-01-01T00:00:00-02:00,3554755,2010,Municípios,1544.0
POPTOT,2010-01-01T00:00:00-02:00,3146602,2010,Municípios,1558.0
POPTOT,2010-01-01T00:00:00-02:00,314660,2010,AMC 60-00,1560.0
POPTOT,2010-01-01T00:00:00-02:00,314660,2010,AMC 70-00,1560.0
POPTOT,2010-01-01T00:00:00-02:00,314660,2010,AMC 91-00,1560.0
POPTOT,2010-01-01T00:00:00-02:00,3515657,2010,Municípios,1563.0
POPTOT,2010-01-01T00:00:00-02:00,1706258,2010,Municípios,1564.0
POPTOT,2010-01-01T00:00:00-02:00,432360,2010,AMC 91-00,1569.0
POPTOT,2010-01-01T00:00:00-02:00,4323606,2010,Municípios,1569.0
POPTOT,2010-01-01T00:00:00-02:00,4322186,2010,Municípios,1573.0
POPTOT,2010-01-01T00:00:00-02:00,1721257,2010,Municípios,1574.0
POPTOT,2010-01-01T00:00:00-02:00,4205357,2010,Municípios,1588.0
POPTOT,2010-01-01T00:00:00-02:00,430925,2010,AMC 91-00,1598.0
POPTOT,2010-01-01T00:00:00-02:00,4309258,2010,Municípios,1598.0
POPTOT,2010-01-01T00:00:00-02:00,4311270,2010,Municípios,1598.0
