CodMunIBGE,Receitas Correntes 2010 (R$)
2904308,1378584.08
2201309,2551077.62999999
2200608,2691562.12
2411056,4398903.59
2206308,4802935.52
1712157,5017632.92
2411908,5116634.15
1704600,5275379.95
1720150,5283738.0
2200954,5287283.4
1702703,5434562.63
1711803,5460620.38
1715259,5555675.33
1718659,5561903.01
1715150,5574806.55
2205540,5631674.01
1720853,5661036.97
2209450,5667710.48
1720002,5669920.37
2204154,5675705.43
1720937,5706903.05
2210375,5711734.47
1600253,5715459.48
1718006,5728867.8
2210383,5729060.22
2210979,5734780.43
1712454,5794888.77
2200103,5882071.71
2208601,5884485.13
1721257,5887840.54
1718899,5901923.47
2203859,5951592.41
1721307,5951891.93
1703602,5954369.68
1715002,5965199.92
1705557,5973863.49
1703826,5976561.79
3157500,5980977.45
2201572,6014698.06
1711100,6033802.27
2209500,6064201.15
2207355,6064508.61
1713700,6092190.56
1703305,6092250.15
1700251,6111728.91
2207108,6112937.11
2200806,6117720.13
1709807,6139462.7
1718451,6152581.0
2504850,6160922.66
1718881,6179321.81
2211605,6182303.97
4107520,6199426.8
1701051,6200692.5
2210953,6203498.8
2206001,6209668.99
2206951,6227231.44
1713957,6273011.75
2209609,6275909.93
1715507,6275969.71
1704105,6276443.81
1701101,6300625.41
2210391,6308853.77
2207934,6316986.53
1719004,6319889.86
2205250,6323452.04
2207850,6355238.26
2209757,6356331.56
1600550,6356772.91
2207793,6365505.53
1712405,6382180.88
1714302,6385933.48
2513943,6426220.88
2204600,6432181.9
2201556,6434517.86
2209153,6437748.42
5101209,6440160.49
4110052,6458883.11
4311429,6477971.02
1720309,6481430.05
1703883,6496578.53
1715101,6506961.0
2513851,6507085.71
2110906,6509854.18
5107883,6511055.01
3147501,6512638.07
2201804,6534873.8
2208551,6540810.33
2510659,6551219.48
5209457,6552977.07
2201176,6558660.23
1710904,6558986.92
2517407,6570503.78
2404804,6609557.36
1705102,6618948.36
1717206,6621658.55
2211407,6655852.37
2206753,6657487.35
2202075,6662128.54
3103306,6667133.05
2207553,6671650.4
3556958,6674187.64
1705607,6689145.04
1718402,6695777.24
5201207,6696047.0
3103108,6697555.41
1711951,6713455.47
2512788,6714414.02
5213053,6721769.88
4304853,6722177.72
1712801,6722651.07
1600212,6725395.08
2204006,6731105.35
1717800,6736374.57
2209104,6742908.76
1720101,6745722.43
4311643,6753737.89
3172202,6755804.91
2510600,6762784.59
1703073,6764643.13
2202737,6778990.42
2211506,6779369.89
3146602,6791589.33
2204105,6794803.24
2203800,6795732.0
5204201,6799684.0
