CodMunIBGE,PIB 2010 (R$),VALUE
2209450,7217.765,7217765.0
2206308,7371.409,7371409.0
2210375,8559.126,8559126.0
2210383,8899.48,8899480.0
2414902,9051.436,9051436.0
2200954,9220.688,9220688.0
2203859,9426.628,9426628.0
2205540,9430.683,9430683.0
2510659,9542.312,9542312.0
3115607,9627.526,9627526.0
2512606,9675.179,9675179.0
2501153,10048.494,10048494.0
2201309,10143.02,10143020.0
2517407,10148.075,10148075.0
2207934,10327.971,10327971.0
3166600,10484.383,10484383.0
2514651,10487.172,10487172.0
3147501,10529.344,10529344.0
2210953,10586.001,10586001.0
2207108,10642.049,10642049.0
2500734,10662.104,10662104.0
2204154,10705.448,10705448.0
2210979,10707.786,10707786.0
2201572,10777.488,10777488.0
2209609,10984.309,10984309.0
2504850,11051.954,11051954.0
2512788,11057.767,11057767.0
1720150,11116.648,11116648.0
1704600,11127.326,11127326.0
2210391,11143.898,11143898.0
1715507,11237.551,11237551.0
2202075,11396.067,11396067.0
5201207,11491.446,11491446.0
2505303,11527.056,11527056.0
2502201,11571.776,11571776.0
2207793,11581.212,11581212.0
5101209,11609.244,11609244.0
2208601,11675.246,11675246.0
2203255,11796.863,11796863.0
1718659,11847.681,11847681.0
3146602,11879.726,11879726.0
2513943,11909.893,11909893.0
3149408,11927.048,11927048.0
3160504,12023.765,12023765.0
2211506,12027.315,12027315.0
3132800,12031.899,12031899.0
3164803,12066.451,12066451.0
2208551,12153.042,12153042.0
2407906,12354.426,12354426.0
2209757,12397.74,12397740.0
3103306,12473.633,12473633.0
2209500,12502.332,12502332.0
1720937,12508.239,12508239.0
3118502,12519.574,12519574.0
3165602,12532.387,12532387.0
2513653,12553.264,12553264.0
2207355,12572.872,12572872.0
2504108,12713.555,12713555.0
2405900,12731.162,12731162.0
2509370,12759.681,12759681.0
3145406,12836.914,12836914.0
2413805,12959.726,12959726.0
2206951,12971.746,12971746.0
1703826,13096.94,13096940.0
3167301,13265.425,13265425.0
2208874,13333.114,13333114.0
2404804,13377.139,13377139.0
2207850,13463.243,13463243.0
2205359,13464.039,13464039.0
2209559,13563.647,13563647.0
2510709,13582.263,13582263.0
3156205,13591.349,13591349.0
3147808,13601.77,13601770.0
2514602,13606.484,13606484.0
2202737,13626.777,13626777.0
2403756,13674.559,13674559.0
2502052,13677.709,13677709.0
5107883,13758.048,13758048.0
2500577,13797.663,13797663.0
3554656,13985.324,13985324.0
2207553,14055.497,14055497.0
2513851,14186.444,14186444.0
5106703,14257.439,14257439.0
2204600,14271.092,14271092.0
2210359,14275.017,14275017.0
2405504,14288.674,14288674.0
2414308,14319.951,14319951.0
2204550,14371.805,14371805.0
3158706,14406.797,14406797.0
2403905,14407.336,14407336.0
2201556,14416.042,14416042.0
2410702,14422.643,14422643.0
2409605,14428.477,14428477.0
2513000,14435.171,14435171.0
2201988,14521.836,14521836.0
3153301,14530.068,14530068.0
2506202,14547.978,14547978.0
2203271,14615.309,14615309.0
1720002,14702.785,14702785.0
3115409,14708.822,14708822.0
2203420,14746.588,14746588.0
2410603,14760.253,14760253.0
2508406,14766.174,14766174.0
2207959,14777.544,14777544.0
2209153,14783.353,14783353.0
2513968,14801.717,14801717.0
2205250,14819.864,14819864.0
3113800,14838.317,14838317.0
2210904,14848.478,14848478.0
1711803,14853.236,14853236.0
3165560,14855.259,14855259.0
1715150,14874.727,14874727.0
2206753,14892.133,14892133.0
2209955,14906.061,14906061.0
2203750,14915.472,14915472.0
2211605,14966.887,14966887.0
3503950,14972.668,14972668.0
3127909,15003.006,15003006.0
3167004,15059.925,15059925.0
3126950,15063.98,15063980.0
