CodMunIBGE,Habitantes 2010
350720,805
350720,805
3507209,805
316660,815
316660,815
3166600,815
520120,1017
520120,1017
520120,1017
5201207,1020
1715507,1037
510120,1095
510120,1095
5101209,1096
3532868,1125
3115607,1210
311560,1212
311560,1212
430066,1216
4300661,1216
355590,1251
355590,1251
355590,1251
3555901,1251
220630,1253
220630,1253
2206308,1253
5212253,1254
2510659,1256
1704600,1335
5107883,1365
312790,1373
312790,1373
3127909,1373
411260,1409
411260,1409
4112603,1409
520420,1417
520420,1417
520420,1417
5204201,1417
4116505,1431
411650,1433
411650,1433
1720150,1437
312340,1440
312340,1440
3123403,1440
3547650,1447
4215695,1465
4322350,1487
4209458,1490
4306924,1527
4305835,1528
431235,1542
4312351,1542
3554755,1544
3146602,1558
314660,1560
314660,1560
314660,1560
3515657,1563
1706258,1564
432360,1569
4323606,1569
4322186,1573
1721257,1574
4205357,1588
430925,1598
4309258,1598
4311270,1598
355570,1599
355570,1599
3555703,1599
1712157,1605
4304853,1607
3164803,1613
316480,1616
316480,1616
241490,1618
241490,1618
2414902,1618
4311643,1624
1709807,1639
354720,1641
354720,1641
3547205,1641
4316733,1655
3103108,1671
310310,1673
310310,1673
4308854,1677
2514651,1684
3513850,1689
5220058,1689
522005,1692
251260,1699
251260,1699
2512606,1699
1718659,1714
4317251,1720
4312674,1721
2512788,1722
421390,1724
421390,1724
4213906,1725
4305934,1725
311850,1727
311850,1727
3118502,1727
3556958,1737
1720853,1742
4314787,1750
351580,1752
351580,1752
351580,1752
3515806,1752
4304622,1754
4217956,1757
4313466,1757
521340,1763
521340,1763
521340,1763
4211876,1763
5213400,1763
314750,1766
314750,1766
3147501,1766
4208955,1766
5106703,1768
2504850,1771
4315313,1775
316050,1777
316050,1777
3160504,1777
3536570,1779
3549250,1780
3149408,1785
314940,1789
314940,1789
3166402,1789
316640,1790
316640,1790
4312179,1799
4304614,1807
3503950,1809
4312625,1813
412360,1818
412360,1818
4123600,1818
4210050,1826
312350,1841
312350,1841
3123502,1841
430055,1848
4300554,1848
4315073,1852
3153806,1861
4116000,1862
315380,1866
315380,1866
316580,1868
316580,1868
3165800,1868
316820,1873
316820,1873
316820,1873
3168200,1873
