code,date,value,uname,tcode
ADH_IDHM,7670.0,0.493,Brazil,0
ADH_IDHM,10957.0,0.612,Brazil,0
ADH_IDHM,14610.0,0.727,Brazil,0
ADH_IDHM,7670.0,0.407,States,11
ADH_IDHM,10957.0,0.537,States,11
ADH_IDHM,14610.0,0.69,States,11
ADH_IDHM,7670.0,0.402,States,12
ADH_IDHM,10957.0,0.517,States,12
ADH_IDHM,14610.0,0.663,States,12
ADH_IDHM,7670.0,0.43,States,13
ADH_IDHM,10957.0,0.515,States,13
ADH_IDHM,14610.0,0.674,States,13
ADH_IDHM,7670.0,0.459,States,14
ADH_IDHM,10957.0,0.598,States,14
ADH_IDHM,14610.0,0.707,States,14
ADH_IDHM,7670.0,0.413,States,15
ADH_IDHM,10957.0,0.518,States,15
ADH_IDHM,14610.0,0.646,States,15
ADH_IDHM,7670.0,0.472,States,16
ADH_IDHM,10957.0,0.577,States,16
ADH_IDHM,14610.0,0.708,States,16
ADH_IDHM,7670.0,0.369,States,17
ADH_IDHM,10957.0,0.525,States,17
ADH_IDHM,14610.0,0.699,States,17
ADH_IDHM,7670.0,0.357,States,21
ADH_IDHM,10957.0,0.476,States,21
ADH_IDHM,14610.0,0.639,States,21
ADH_IDHM,7670.0,0.362,States,22
ADH_IDHM,10957.0,0.484,States,22
ADH_IDHM,14610.0,0.646,States,22
ADH_IDHM,7670.0,0.405,States,23
ADH_IDHM,10957.0,0.541,States,23
ADH_IDHM,14610.0,0.682,States,23
ADH_IDHM,7670.0,0.428,States,24
ADH_IDHM,10957.0,0.552,States,24
ADH_IDHM,14610.0,0.684,States,24
ADH_IDHM,7670.0,0.382,States,25
ADH_IDHM,10957.0,0.506,States,25
ADH_IDHM,14610.0,0.658,States,25
ADH_IDHM,7670.0,0.44,States,26
ADH_IDHM,10957.0,0.544,States,26
ADH_IDHM,14610.0,0.673,States,26
ADH_IDHM,7670.0,0.37,States,27
ADH_IDHM,10957.0,0.471,States,27
ADH_IDHM,14610.0,0.631,States,27
ADH_IDHM,7670.0,0.408,States,28
ADH_IDHM,10957.0,0.518,States,28
ADH_IDHM,14610.0,0.665,States,28
ADH_IDHM,7670.0,0.386,States,29
ADH_IDHM,10957.0,0.512,States,29
ADH_IDHM,14610.0,0.66,States,29
ADH_IDHM,7670.0,0.478,States,31
ADH_IDHM,10957.0,0.624,States,31
ADH_IDHM,14610.0,0.731,States,31
ADH_IDHM,7670.0,0.505,States,32
ADH_IDHM,10957.0,0.64,States,32
ADH_IDHM,14610.0,0.74,States,32
ADH_IDHM,7670.0,0.573,States,33
ADH_IDHM,10957.0,0.664,States,33
ADH_IDHM,14610.0,0.761,States,33
ADH_IDHM,7670.0,0.578,States,35
ADH_IDHM,10957.0,0.702,States,35
ADH_IDHM,14610.0,0.783,States,35
ADH_IDHM,7670.0,0.507,States,41
ADH_IDHM,10957.0,0.65,States,41
ADH_IDHM,14610.0,0.749,States,41
ADH_IDHM,7670.0,0.543,States,42
ADH_IDHM,10957.0,0.674,States,42
ADH_IDHM,14610.0,0.774,States,42
ADH_IDHM,7670.0,0.542,States,43
ADH_IDHM,10957.0,0.664,States,43
ADH_IDHM,14610.0,0.746,States,43
ADH_IDHM,7670.0,0.488,States,50
ADH_IDHM,10957.0,0.613,States,50
ADH_IDHM,14610.0,0.729,States,50
ADH_IDHM,7670.0,0.449,States,51
ADH_IDHM,10957.0,0.601,States,51
ADH_IDHM,14610.0,0.725,States,51
ADH_IDHM,7670.0,0.487,States,52
ADH_IDHM,10957.0,0.615,States,52
ADH_IDHM,14610.0,0.735,States,52
ADH_IDHM,7670.0,0.616,States,53
ADH_IDHM,10957.0,0.725,States,53
ADH_IDHM,14610.0,0.824,States,53
ADH_IDHM,7670.0,0.329,Municipality,1100015
ADH_IDHM,10957.0,0.483,Municipality,1100015
ADH_IDHM,14610.0,0.641,Municipality,1100015
ADH_IDHM,7670.0,0.432,Municipality,1100023
ADH_IDHM,10957.0,0.556,Municipality,1100023
ADH_IDHM,14610.0,0.702,Municipality,1100023
ADH_IDHM,7670.0,0.309,Municipality,1100031
ADH_IDHM,10957.0,0.488,Municipality,1100031
ADH_IDHM,14610.0,0.65,Municipality,1100031
ADH_IDHM,7670.0,0.407,Municipality,1100049
ADH_IDHM,10957.0,0.567,Municipality,1100049
ADH_IDHM,14610.0,0.718,Municipality,1100049
ADH_IDHM,7670.0,0.386,Municipality,1100056
ADH_IDHM,10957.0,0.542,Municipality,1100056
ADH_IDHM,14610.0,0.692,Municipality,1100056
ADH_IDHM,7670.0,0.376,Municipality,1100064
ADH_IDHM,10957.0,0.545,Municipality,1100064
ADH_IDHM,14610.0,0.685,Municipality,1100064
ADH_IDHM,7670.0,0.203,Municipality,1100072
ADH_IDHM,10957.0,0.401,Municipality,1100072
ADH_IDHM,14610.0,0.613,Municipality,1100072
ADH_IDHM,7670.0,0.425,Municipality,1100080
ADH_IDHM,10957.0,0.486,Municipality,1100080
ADH_IDHM,14610.0,0.611,Municipality,1100080
ADH_IDHM,7670.0,0.388,Municipality,1100098
ADH_IDHM,10957.0,0.501,Municipality,1100098
ADH_IDHM,14610.0,0.672,Municipality,1100098
ADH_IDHM,7670.0,0.468,Municipality,1100106
ADH_IDHM,10957.0,0.573,Municipality,1100106
ADH_IDHM,14610.0,0.657,Municipality,1100106
ADH_IDHM,7670.0,0.352,Municipality,1100114
ADH_IDHM,10957.0,0.514,Municipality,1100114
ADH_IDHM,14610.0,0.689,Municipality,1100114
ADH_IDHM,7670.0,0.433,Municipality,1100122
ADH_IDHM,10957.0,0.564,Municipality,1100122
ADH_IDHM,14610.0,0.714,Municipality,1100122
ADH_IDHM,7670.0,0.286,Municipality,1100130
ADH_IDHM,10957.0,0.449,Municipality,1100130
ADH_IDHM,14610.0,0.596,Municipality,1100130
ADH_IDHM,7670.0,0.272,Municipality,1100148
ADH_IDHM,10957.0,0.459,Municipality,1100148
ADH_IDHM,14610.0,0.643,Municipality,1100148
ADH_IDHM,7670.0,0.382,Municipality,1100155
ADH_IDHM,10957.0,0.533,Municipality,1100155
ADH_IDHM,14610.0,0.682,Municipality,1100155
ADH_IDHM,7670.0,0.412,Municipality,1100189
ADH_IDHM,10957.0,0.573,Municipality,1100189
ADH_IDHM,14610.0,0.71,Municipality,1100189
ADH_IDHM,7670.0,0.495,Municipality,1100205
ADH_IDHM,10957.0,0.613,Municipality,1100205
ADH_IDHM,14610.0,0.736,Municipality,1100205
ADH_IDHM,7670.0,0.348,Municipality,1100254
ADH_IDHM,10957.0,0.485,Municipality,1100254
ADH_IDHM,14610.0,0.664,Municipality,1100254
ADH_IDHM,7670.0,0.259,Municipality,1100262
ADH_IDHM,10957.0,0.441,Municipality,1100262
ADH_IDHM,14610.0,0.643,Municipality,1100262
ADH_IDHM,7670.0,0.383,Municipality,1100288
ADH_IDHM,10957.0,0.559,Municipality,1100288
ADH_IDHM,14610.0,0.7,Municipality,1100288
ADH_IDHM,7670.0,0.289,Municipality,1100296
ADH_IDHM,10957.0,0.482,Municipality,1100296
ADH_IDHM,14610.0,0.67,Municipality,1100296
ADH_IDHM,7670.0,0.498,Municipality,1100304
ADH_IDHM,10957.0,0.62,Municipality,1100304
ADH_IDHM,14610.0,0.731,Municipality,1100304
ADH_IDHM,7670.0,0.252,Municipality,1100320
ADH_IDHM,10957.0,0.409,Municipality,1100320
ADH_IDHM,14610.0,0.646,Municipality,1100320
ADH_IDHM,7670.0,0.336,Municipality,1100338
ADH_IDHM,10957.0,0.446,Municipality,1100338
ADH_IDHM,14610.0,0.587,Municipality,1100338
ADH_IDHM,7670.0,0.313,Municipality,1100346
ADH_IDHM,10957.0,0.469,Municipality,1100346
ADH_IDHM,14610.0,0.643,Municipality,1100346
ADH_IDHM,7670.0,0.241,Municipality,1100379
ADH_IDHM,10957.0,0.402,Municipality,1100379
ADH_IDHM,14610.0,0.592,Municipality,1100379
ADH_IDHM,7670.0,0.269,Municipality,1100403
ADH_IDHM,10957.0,0.446,Municipality,1100403
ADH_IDHM,14610.0,0.625,Municipality,1100403
ADH_IDHM,7670.0,0.325,Municipality,1100452
