CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,"VALUE (R$ (mil), a preços do ano 2010)"
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209450,2010,Municípios,7217.765
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2206308,2010,Municípios,7371.409
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210375,2010,Municípios,8559.126
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210383,2010,Municípios,8899.48
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2414902,2010,Municípios,9051.436
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2200954,2010,Municípios,9220.688
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2203859,2010,Municípios,9426.628
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2205540,2010,Municípios,9430.683
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2510659,2010,Municípios,9542.312
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3115607,2010,Municípios,9627.526
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2512606,2010,Municípios,9675.179
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2501153,2010,Municípios,10048.494
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2201309,2010,Municípios,10143.02
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2517407,2010,Municípios,10148.075
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207934,2010,Municípios,10327.971
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3166600,2010,Municípios,10484.383
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2514651,2010,Municípios,10487.172
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3147501,2010,Municípios,10529.344
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210953,2010,Municípios,10586.001
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207108,2010,Municípios,10642.049
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2500734,2010,Municípios,10662.104
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2204154,2010,Municípios,10705.448
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210979,2010,Municípios,10707.786
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2201572,2010,Municípios,10777.488
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209609,2010,Municípios,10984.309
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2504850,2010,Municípios,11051.954
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2512788,2010,Municípios,11057.767
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1720150,2010,Municípios,11116.648
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1704600,2010,Municípios,11127.326
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210391,2010,Municípios,11143.898
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1715507,2010,Municípios,11237.551
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2202075,2010,Municípios,11396.067
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,5201207,2010,Municípios,11491.446
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2505303,2010,Municípios,11527.056
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2502201,2010,Municípios,11571.776
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207793,2010,Municípios,11581.212
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,5101209,2010,Municípios,11609.244
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2208601,2010,Municípios,11675.246
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2203255,2010,Municípios,11796.863
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1718659,2010,Municípios,11847.681
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3146602,2010,Municípios,11879.726
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2513943,2010,Municípios,11909.893
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3149408,2010,Municípios,11927.048
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3160504,2010,Municípios,12023.765
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2211506,2010,Municípios,12027.315
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3132800,2010,Municípios,12031.899
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3164803,2010,Municípios,12066.451
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2208551,2010,Municípios,12153.042
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2407906,2010,Municípios,12354.426
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209757,2010,Municípios,12397.74
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3103306,2010,Municípios,12473.633
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209500,2010,Municípios,12502.332
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1720937,2010,Municípios,12508.239
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3118502,2010,Municípios,12519.574
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3165602,2010,Municípios,12532.387
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2513653,2010,Municípios,12553.264
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207355,2010,Municípios,12572.872
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2504108,2010,Municípios,12713.555
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2405900,2010,Municípios,12731.162
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2509370,2010,Municípios,12759.681
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3145406,2010,Municípios,12836.914
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2413805,2010,Municípios,12959.726
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2206951,2010,Municípios,12971.746
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1703826,2010,Municípios,13096.94
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3167301,2010,Municípios,13265.425
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2208874,2010,Municípios,13333.114
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2404804,2010,Municípios,13377.139
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207850,2010,Municípios,13463.243
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2205359,2010,Municípios,13464.039
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209559,2010,Municípios,13563.647
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2510709,2010,Municípios,13582.263
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3156205,2010,Municípios,13591.349
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3147808,2010,Municípios,13601.77
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2514602,2010,Municípios,13606.484
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2202737,2010,Municípios,13626.777
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2403756,2010,Municípios,13674.559
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2502052,2010,Municípios,13677.709
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,5107883,2010,Municípios,13758.048
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2500577,2010,Municípios,13797.663
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3554656,2010,Municípios,13985.324
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207553,2010,Municípios,14055.497
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2513851,2010,Municípios,14186.444
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,5106703,2010,Municípios,14257.439
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2204600,2010,Municípios,14271.092
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210359,2010,Municípios,14275.017
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2405504,2010,Municípios,14288.674
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2414308,2010,Municípios,14319.951
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2204550,2010,Municípios,14371.805
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3158706,2010,Municípios,14406.797
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2403905,2010,Municípios,14407.336
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2201556,2010,Municípios,14416.042
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2410702,2010,Municípios,14422.643
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2409605,2010,Municípios,14428.477
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2513000,2010,Municípios,14435.171
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2201988,2010,Municípios,14521.836
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3153301,2010,Municípios,14530.068
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2506202,2010,Municípios,14547.978
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2203271,2010,Municípios,14615.309
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1720002,2010,Municípios,14702.785
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3115409,2010,Municípios,14708.822
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2203420,2010,Municípios,14746.588
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2410603,2010,Municípios,14760.253
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2508406,2010,Municípios,14766.174
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2207959,2010,Municípios,14777.544
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209153,2010,Municípios,14783.353
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2513968,2010,Municípios,14801.717
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2205250,2010,Municípios,14819.864
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3113800,2010,Municípios,14838.317
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2210904,2010,Municípios,14848.478
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1711803,2010,Municípios,14853.236
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3165560,2010,Municípios,14855.259
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1715150,2010,Municípios,14874.727
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2206753,2010,Municípios,14892.133
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2209955,2010,Municípios,14906.061
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2203750,2010,Municípios,14915.472
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2211605,2010,Municípios,14966.887
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3503950,2010,Municípios,14972.668
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3127909,2010,Municípios,15003.006
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3167004,2010,Municípios,15059.925
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3126950,2010,Municípios,15063.98
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2201176,2010,Municípios,15097.009
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2202455,2010,Municípios,15108.497
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2400406,2010,Municípios,15133.615
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2800100,2010,Municípios,15253.258
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,1704105,2010,Municípios,15278.861
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3153806,2010,Municípios,15313.102
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2211704,2010,Municípios,15323.39
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2202251,2010,Municípios,15323.958
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,3123403,2010,Municípios,15348.695
PIB_IBGE_5938_37,2010-01-01T00:00:00-02:00,2513356,2010,Municípios,15383.788
