CodMunIBGE,VALUE (R$)
2904308,1378584
2201309,2551077
2200608,2691562
2411056,4398903
2206308,4802935
1712157,5017632
2411908,5116634
1704600,5275379
1720150,5283738
2200954,5287283
1702703,5434562
1711803,5460620
1715259,5555675
1718659,5561903
1715150,5574806
2205540,5631674
1720853,5661036
2209450,5667710
1720002,5669920
2204154,5675705
1720937,5706903
2210375,5711734
1600253,5715459
1718006,5728867
2210383,5729060
2210979,5734780
1712454,5794888
2200103,5882071
2208601,5884485
1721257,5887840
1718899,5901923
2203859,5951592
1721307,5951891
1703602,5954369
1715002,5965199
1705557,5973863
1703826,5976561
3157500,5980977
2201572,6014698
1711100,6033802
2209500,6064201
2207355,6064508
1713700,6092190
1703305,6092250
1700251,6111728
2207108,6112937
2200806,6117720
1709807,6139462
1718451,6152581
2504850,6160922
1718881,6179321
2211605,6182303
4107520,6199426
1701051,6200692
2210953,6203498
2206001,6209668
2206951,6227231
1713957,6273011
2209609,6275909
1715507,6275969
1704105,6276443
1701101,6300625
2210391,6308853
2207934,6316986
1719004,6319889
2205250,6323452
2207850,6355238
2209757,6356331
1600550,6356772
2207793,6365505
1712405,6382180
1714302,6385933
2513943,6426220
2204600,6432181
2201556,6434517
2209153,6437748
5101209,6440160
4110052,6458883
4311429,6477971
1720309,6481430
1703883,6496578
1715101,6506961
2513851,6507085
2110906,6509854
5107883,6511055
3147501,6512638
2201804,6534873
2208551,6540810
2510659,6551219
5209457,6552977
2201176,6558660
1710904,6558986
2517407,6570503
2404804,6609557
1705102,6618948
1717206,6621658
2211407,6655852
2206753,6657487
2202075,6662128
3103306,6667133
2207553,6671650
3556958,6674187
1705607,6689145
1718402,6695777
5201207,6696047
3103108,6697555
1711951,6713455
2512788,6714414
5213053,6721769
4304853,6722177
1712801,6722651
1600212,6725395
2204006,6731105
1717800,6736374
2209104,6742908
1720101,6745722
4311643,6753737
3172202,6755804
2510600,6762784
1703073,6764643
2202737,6778990
2211506,6779369
3146602,6791589
2204105,6794803
2203800,6795732
5204201,6799684
2501153,6811700
1718808,6815795
3165800,6822938
2512606,6832001
2500734,6842600
1703107,6843987
2209955,6848948
3164803,6852389
2202802,6852777
1706258,6853160
3118502,6867982
2209807,6876564
4313466,6877679
2510709,6884183
2209351,6884452
2209377,6897279
1720499,6899231
3122801,6900409
2205359,6901203
2504108,6911253
3115607,6912341
3132800,6918373
4116000,6922184
2207306,6922336
2514800,6931833
2509370,6937374
5200159,6938329
4116505,6947043
3165503,6956546
4319364,6958895
5214903,6963809
2514651,6965632
4115903,6968450
2210102,6968707
5213400,6979566
5212907,6981400
3166600,6996747
5220058,7008723
2205300,7010881
5213855,7017535
1712702,7018397
2517100,7022920
3129905,7025098
1708254,7026514
1708304,7029881
3160504,7031447
2201929,7032797
4123600,7038506
1718501,7038630
4110300,7039538
3115409,7043203
4106100,7048061
2505501,7061282
2515203,7064411
2205581,7067265
2515609,7076783
2210359,7077569
2202711,7085469
4201802,7087701
2203420,7097552
4322186,7109292
4300661,7111176
4311239,7121376
2210938,7133621
5214804,7136411
2506202,7140992
1703891,7153829
5200506,7153931
2208874,7155878
3149408,7159258
3159407,7161896
2516151,7177749
2211704,7179993
2411429,7181982
2209856,7184384
2209401,7195364
2403756,7198070
2513968,7205011
3163607,7208527
4314787,7214819
2513927,7219138
2514602,7220882
3117207,7221953
4207858,7222851
2506509,7223409
3167004,7223918
2201988,7224251
2806909,7225173
2505907,7225956
2505303,7228127
2403905,7229139
3168051,7230740
3163201,7232266
2202251,7238687
3127354,7238963
3145703,7241035
3503950,7241839
2209302,7246159
4218954,7249704
2205607,7252462
2211357,7252590
5215801,7252979
5106703,7264927
5209291,7269130
3166402,7270736
1717008,7273426
2414902,7282365
4312625,7283391
2203750,7287575
4115739,7289477
3125200,7290174
2201002,7301626
2514008,7305978
3554656,7307033
3158706,7309893
3110400,7315954
3114907,7321912
4215695,7327250
5203609,7335784
3123403,7336670
4320578,7336967
5105309,7336993
5214879,7352747
3547650,7358416
2512200,7361192
2210904,7370602
5206701,7370964
3103207,7372689
3140407,7374826
4217154,7377869
3137908,7381792
2513984,7381923
2204352,7382063
3153806,7382368
3507209,7391118
4202099,7394282
3167301,7395130
3147808,7395368
4208955,7395456
2202091,7400982
4102752,7403549
5107156,7410017
3547205,7414134
3148806,7415620
4217956,7420100
4309258,7422333
1720655,7432240
3106804,7434037
5220702,7434538
5107404,7438078
4315313,7440344
2513000,7442968
2514552,7443016
2209559,7445659
3504701,7452640
2205599,7455791
3119906,7460896
4317251,7473533
2201945,7476377
3124609,7477660
3145406,7482039
2202851,7482273
3130804,7483008
4306072,7485465
2207959,7502509
4304614,7508459
2407906,7516254
1706506,7520271
3142502,7521437
4315073,7523009
2203255,7524924
2516755,7525359
1716307,7526280
5212600,7526418
4211892,7526708
3162302,7528462
2209005,7533107
5221080,7538781
5210307,7551891
4116604,7561456
5220280,7563226
2512747,7571256
4202578,7571646
3115201,7572060
2406908,7572182
2205565,7576701
2514701,7577315
3102209,7578619
2210052,7580874
2509602,7582178
4205357,7582231
4302378,7586770
2502201,7589297
3126950,7591223
2508554,7591811
1703057,7594083
2503407,7595457
1707306,7599422
2503753,7601964
5219456,7602804
4302055,7603951
4211876,7621278
2209658,7623801
1718907,7635926
3114808,7637872
5212253,7638791
3115904,7642631
3119708,7643777
1718840,7644020
4322343,7645073
2200277,7651570
4316733,7651761
4204756,7653011
2501351,7654318
3143708,7655015
2510501,7655308
5207105,7656149
2210201,7664855
4215059,7666262
4124202,7666758
3127370,7667265
2414308,7667431
4103156,7674782
5219506,7676606
3153301,7679865
5203939,7682051
3161056,7683457
5210158,7684453
3119005,7684730
3127388,7689925
3161601,7694693
3546256,7696280
2203404,7696299
3121902,7697420
4308052,7697591
4318432,7699686
3165602,7707578
3155207,7710461
4113106,7716288
2207751,7717720
2409209,7719299
4101853,7721181
3170305,7723845
4112603,7734165
5200902,7735978
2511004,7738675
3160603,7742302
2502300,7747665
4308250,7749690
5214705,7751252
4317954,7753170
2202133,7754032
5212055,7754186
5106455,7761614
3156106,7762963
3150109,7766364
1701309,7769789
3125804,7772521
2500577,7774359
2200459,7776088
2517209,7776498
1715705,7778889
5206800,7787177
5107198,7791358
2210623,7792926
2415008,7793057
2205516,7795939
4215604,7797869
3533106,7798346
5206503,7803645
5209606,7809883
3109253,7816143
4215687,7816480
2508703,7823877
2504207,7825770
2406403,7826289
4110656,7826470
3156205,7835660
4128302,7837637
3150000,7843304
3143153,7846069
2400406,7847061
2406304,7849223
4109104,7849449
3133907,7849696
4100459,7852055
3544707,7852406
2504074,7855854
3161650,7855948
1718709,7857824
2407252,7859170
2201408,7863309
3165560,7865150
4314134,7866364
5107297,7868439
4305835,7869597
4214102,7870942
4101150,7871641
5221452,7882884
2207777,7883669
5202809,7885888
4318457,7886353
3507753,7887107
4215752,7889197
3144201,7889661
2202539,7890719
4204459,7891381
