date,IDHM 2010,CodMunIBGE
2010-01-01,0.641,1100015
2010-01-01,0.702,1100023
2010-01-01,0.65,1100031
2010-01-01,0.718,1100049
2010-01-01,0.692,1100056
2010-01-01,0.685,1100064
2010-01-01,0.613,1100072
2010-01-01,0.611,1100080
2010-01-01,0.672,1100098
2010-01-01,0.657,1100106
2010-01-01,0.689,1100114
2010-01-01,0.714,1100122
2010-01-01,0.596,1100130
2010-01-01,0.643,1100148
2010-01-01,0.682,1100155
2010-01-01,0.71,1100189
2010-01-01,0.736,1100205
2010-01-01,0.664,1100254
2010-01-01,0.643,1100262
2010-01-01,0.7,1100288
2010-01-01,0.67,1100296
2010-01-01,0.731,1100304
2010-01-01,0.646,1100320
2010-01-01,0.587,1100338
2010-01-01,0.643,1100346
2010-01-01,0.592,1100379
2010-01-01,0.625,1100403
2010-01-01,0.616,1100452
2010-01-01,0.634,1100502
2010-01-01,0.646,1100601
2010-01-01,0.593,1100700
2010-01-01,0.649,1100809
2010-01-01,0.658,1100908
2010-01-01,0.652,1100924
2010-01-01,0.612,1100940
2010-01-01,0.596,1101005
2010-01-01,0.614,1101104
2010-01-01,0.638,1101203
2010-01-01,0.643,1101302
2010-01-01,0.607,1101401
2010-01-01,0.587,1101435
2010-01-01,0.617,1101450
2010-01-01,0.665,1101468
2010-01-01,0.641,1101476
2010-01-01,0.649,1101484
2010-01-01,0.611,1101492
2010-01-01,0.598,1101500
2010-01-01,0.643,1101559
2010-01-01,0.589,1101609
2010-01-01,0.609,1101708
2010-01-01,0.584,1101757
2010-01-01,0.627,1101807
2010-01-01,0.604,1200013
2010-01-01,0.588,1200054
2010-01-01,0.614,1200104
2010-01-01,0.589,1200138
2010-01-01,0.575,1200179
2010-01-01,0.664,1200203
2010-01-01,0.653,1200252
2010-01-01,0.539,1200302
2010-01-01,0.469,1200328
2010-01-01,0.625,1200336
2010-01-01,0.551,1200344
2010-01-01,0.501,1200351
2010-01-01,0.622,1200385
2010-01-01,0.532,1200393
2010-01-01,0.727,1200401
2010-01-01,0.567,1200427
2010-01-01,0.517,1200435
2010-01-01,0.64,1200450
2010-01-01,0.603,1200500
2010-01-01,0.539,1200609
2010-01-01,0.599,1200708
2010-01-01,0.576,1200807
2010-01-01,0.527,1300029
2010-01-01,0.56,1300060
2010-01-01,0.594,1300086
2010-01-01,0.561,1300102
2010-01-01,0.637,1300144
2010-01-01,0.45,1300201
2010-01-01,0.577,1300300
2010-01-01,0.5,1300409
2010-01-01,0.574,1300508
2010-01-01,0.574,1300607
2010-01-01,0.506,1300631
2010-01-01,0.565,1300680
2010-01-01,0.588,1300706
2010-01-01,0.56,1300805
2010-01-01,0.569,1300839
2010-01-01,0.53,1300904
2010-01-01,0.549,1301001
2010-01-01,0.557,1301100
2010-01-01,0.568,1301159
2010-01-01,0.586,1301209
2010-01-01,0.563,1301308
2010-01-01,0.563,1301407
2010-01-01,0.509,1301506
2010-01-01,0.53,1301605
