CodMunIBGE,"PIB (mil R$), a preços de 2010"
2209450,7217
2206308,7371
2210375,8559
2210383,8899
2414902,9051
2200954,9220
2203859,9426
2205540,9430
2510659,9542
3115607,9627
2512606,9675
2501153,10048
2201309,10143
2517407,10148
2207934,10327
3166600,10484
2514651,10487
3147501,10529
2210953,10586
2207108,10642
2500734,10662
2204154,10705
2210979,10707
2201572,10777
2209609,10984
2504850,11051
2512788,11057
1720150,11116
1704600,11127
2210391,11143
1715507,11237
2202075,11396
5201207,11491
2505303,11527
2502201,11571
2207793,11581
5101209,11609
2208601,11675
2203255,11796
1718659,11847
3146602,11879
2513943,11909
3149408,11927
3160504,12023
2211506,12027
3132800,12031
3164803,12066
2208551,12153
2407906,12354
2209757,12397
3103306,12473
2209500,12502
1720937,12508
3118502,12519
3165602,12532
2513653,12553
2207355,12572
2504108,12713
2405900,12731
2509370,12759
3145406,12836
2413805,12959
2206951,12971
1703826,13096
3167301,13265
2208874,13333
2404804,13377
2207850,13463
2205359,13464
2209559,13563
2510709,13582
3156205,13591
3147808,13601
2514602,13606
2202737,13626
2403756,13674
2502052,13677
5107883,13758
2500577,13797
3554656,13985
2207553,14055
2513851,14186
5106703,14257
2204600,14271
2210359,14275
2405504,14288
2414308,14319
2204550,14371
3158706,14406
2403905,14407
2201556,14416
2410702,14422
2409605,14428
2513000,14435
2201988,14521
3153301,14530
2506202,14547
2203271,14615
1720002,14702
3115409,14708
2203420,14746
2410603,14760
2508406,14766
2207959,14777
2209153,14783
2513968,14801
2205250,14819
3113800,14838
2210904,14848
1711803,14853
3165560,14855
1715150,14874
2206753,14892
2209955,14906
2203750,14915
2211605,14966
3503950,14972
3127909,15003
3167004,15059
3126950,15063
2201176,15097
2202455,15108
2400406,15133
2800100,15253
1704105,15278
3153806,15313
2211704,15323
2202251,15323
3123403,15348
2513356,15383
2202802,15429
2209856,15433
3113107,15434
2211357,15464
1713700,15467
3172202,15518
1709807,15535
2101350,15537
2200103,15566
2409209,15603
5221080,15638
2515203,15686
2516755,15732
3540853,15734
2202117,15745
3127354,15752
2512747,15786
3145703,15788
2515609,15797
3166402,15837
3148806,15844
5212055,15934
2407252,15954
2205458,16006
1718006,16061
2204105,16077
3556958,16088
2206654,16107
3165800,16109
2210102,16170
2209351,16207
1700251,16234
2205565,16260
2516151,16317
5204201,16344
3122801,16349
3164902,16381
3155009,16434
2414753,16470
2517100,16485
2514800,16499
1719004,16501
3144201,16517
2111953,16534
2512036,16543
2510600,16588
2401909,16595
2208858,16618
3533106,16633
2202554,16653
2505501,16679
4302055,16711
2202851,16746
2401651,16762
2201002,16801
2207306,16807
2107308,16823
2209807,16826
2209377,16896
2704906,16898
2206001,16918
1712801,16973
2503407,16978
2513984,16985
3143153,17007
2211407,17011
4205357,17047
3170305,17087
2202711,17125
2207751,17143
2203800,17175
2508554,17231
5105309,17233
2205532,17234
2910206,17237
2100105,17246
2201929,17261
3125507,17265
3163607,17271
5106315,17284
3547650,17303
3124609,17339
3109253,17386
2510501,17407
2806909,17426
2201804,17458
2503753,17475
2414456,17494
2511004,17507
2209658,17533
2707008,17588
2406155,17595
2802502,17630
2411106,17655
3136520,17729
2508703,17733
3127370,17735
1711951,17744
2506509,17786
3504701,17822
3518008,17899
2807303,17964
5209457,17970
3168051,18003
2408607,18006
1712405,18046
2406403,18069
3125804,18080
2110807,18089
3166956,18091
2411700,18102
2912608,18134
2505907,18135
2205599,18173
2514552,18176
5203962,18197
3171501,18300
2410009,18322
4315073,18368
5220280,18416
2411908,18421
3142502,18425
3166501,18492
2206050,18503
3536570,18550
5209291,18553
3137908,18555
2706208,18559
2411429,18569
3101300,18592
2415008,18598
3166105,18637
2204006,18644
2210623,18663
3119906,18680
3162658,18780
3522158,18787
2406908,18866
2202729,18875
2101806,18880
4217956,18899
5213400,18904
1706258,18920
2501351,18924
2201945,18928
2201770,18944
5206701,18967
1703602,18970
2304806,18992
3104403,18995
1703891,19058
4107520,19059
1718808,19060
2514107,19071
3111150,19094
5215801,19145
2205524,19225
2106201,19311
4304853,19432
2400604,19440
2201919,19481
3149002,19493
2504074,19527
3160207,19544
2918704,19609
2209302,19640
3108701,19658
3522653,19686
2200277,19686
3161650,19691
3547205,19704
2202091,19711
1718881,19746
2205300,19841
2509602,19956
2401503,19993
2911253,20034
4116505,20064
2508109,20119
3121704,20119
5213855,20176
2513927,20183
5220702,20223
2206357,20226
5214705,20315
3145505,20328
1712454,20333
2202109,20337
3158607,20386
2207777,20430
3529104,20450
3114907,20478
2913309,20483
2705903,20489
2101731,20542
2202133,20564
3127057,20574
5212253,20580
3158409,20580
3121506,20585
2109056,20590
2202539,20638
2203602,20643
2512077,20655
2908804,20669
2105658,20675
3123304,20679
2202174,20742
3555901,20749
2111672,20768
1720853,20787
2514453,20795
2408805,20800
2517209,20802
2505352,20814
3106804,20822
2209872,20830
2411007,20867
2403301,20874
1703883,20877
2512762,20925
2501534,20935
2210052,20942
3106655,20962
2404002,20972
2505808,20982
1718501,21001
2410801,21010
3118106,21024
2206670,21032
4116000,21080
2408706,21104
3103108,21125
3112059,21138
3548302,21142
2103125,21147
2407609,21148
2514701,21157
2205573,21164
2512754,21173
2209104,21176
1721307,21176
2909505,21189
2510303,21237
3120003,21259
1715101,21269
2607109,21277
3126406,21282
2111631,21306
2509503,21337
5200506,21338
3170651,21342
3536257,21382
2210300,21406
1720309,21421
2104701,21451
5214804,21485
3107000,21516
3515806,21530
3543238,21532
3144375,21541
4112603,21546
2201739,21553
2206902,21561
4305835,21569
2408409,21594
2209708,21607
3140100,21621
5200159,21647
3102209,21650
3163300,21668
3110400,21713
3157278,21721
3125002,21748
3159100,21761
3119609,21770
3162302,21771
1702703,21788
3140308,21838
4125555,21892
2209971,21894
2205276,21901
2202653,21915
2100550,21934
2204352,21936
2413557,21970
3102407,21985
2409332,22042
3161601,22064
2504207,22150
4217154,22193
2205516,22211
3144904,22223
3152131,22261
2301802,22268
2112274,22281
4211876,22301
4304614,22345
3157609,22377
1711100,22390
2203354,22408
1717800,22415
3100401,22440
2209906,22488
3157377,22490
3542800,22493
2502300,22572
3168200,22575
2406809,22636
3503158,22642
2201051,22660
1720101,22707
3532843,22721
4209458,22752
3514205,22752
4301859,22754
5210158,22763
3104452,22795
3136579,22824
5206800,22839
3138302,22840
2410504,22841
3127073,22844
5214879,22847
2919009,22862
1715002,22874
3145372,22906
1717206,22919
1718899,22945
3139250,22994
3121902,23020
4123600,23038
4306353,23040
3544707,23066
3554607,23067
2200905,23124
1507466,23155
3503505,23168
3157658,23218
2200459,23226
3163003,23259
3138351,23275
3170602,23316
2205151,23318
2515708,23321
2409506,23324
3153103,23329
3515657,23330
2300606,23341
2910909,23366
3140407,23366
3140209,23369
