CodMunIBGE,Habitantes 2010
3507209,805
3166600,815
5201207,1020
1715507,1037
5101209,1096
3532868,1125
3115607,1210
4300661,1216
3555901,1251
2206308,1253
5212253,1254
2510659,1256
1704600,1335
5107883,1365
3127909,1373
4112603,1409
5204201,1417
4116505,1431
1720150,1437
3123403,1440
3547650,1447
4215695,1465
4322350,1487
4209458,1490
4306924,1527
4305835,1528
4312351,1542
3554755,1544
3146602,1558
3515657,1563
1706258,1564
4323606,1569
4322186,1573
1721257,1574
4205357,1588
4309258,1598
4311270,1598
3555703,1599
1712157,1605
4304853,1607
3164803,1613
2414902,1618
4311643,1624
1709807,1639
3547205,1641
4316733,1655
3103108,1671
4308854,1677
2514651,1684
3513850,1689
5220058,1689
2512606,1699
1718659,1714
4317251,1720
4312674,1721
2512788,1722
4213906,1725
4305934,1725
3118502,1727
3556958,1737
1720853,1742
4314787,1750
3515806,1752
4304622,1754
4217956,1757
4313466,1757
4211876,1763
5213400,1763
3147501,1766
4208955,1766
5106703,1768
2504850,1771
4315313,1775
3160504,1777
3536570,1779
3549250,1780
3149408,1785
3166402,1789
4312179,1799
4304614,1807
3503950,1809
4312625,1813
4123600,1818
4210050,1826
3123502,1841
4300554,1848
4315073,1852
3153806,1861
4116000,1862
3165800,1868
3168200,1873
4315131,1875
4202099,1878
4204756,1882
3529658,1886
4319364,1886
5107743,1900
4217154,1904
3503356,1925
2501153,1927
3555208,1930
4310462,1944
4319752,1944
1720937,1945
4206751,1945
3546256,1953
4312955,1960
3518008,1970
4107520,1970
4322855,1974
3145406,1976
3555307,1978
4322558,1984
4317756,1987
3165602,1988
5220280,1991
3167004,1995
4315172,2000
4301925,2003
4200754,2005
5106315,2005
5200209,2013
4314753,2017
4308250,2018
3100708,2025
4306759,2030
3536257,2032
4205191,2050
5200506,2051
5206909,2056
3103306,2058
2209450,2059
5214804,2062
1703602,2064
4215604,2065
4300471,2067
5212907,2072
2517407,2075
2404804,2077
3147808,2079
4318614,2082
3546108,2084
1713700,2085
2500734,2088
3514205,2096
4207858,2096
1721307,2097
4125555,2098
3549300,2103
2210383,2110
3164902,2110
3529104,2113
3532843,2114
4302154,2114
3156205,2116
3145703,2123
4320578,2124
1718899,2128
3527256,2128
4314464,2130
3531001,2132
4202578,2132
4317558,2139
4306130,2141
1703826,2148
4209177,2148
4323358,2152
4315453,2155
4310751,2156
4306429,2157
2404101,2159
3170602,2163
4319711,2168
3533106,2177
3543238,2187
3149002,2191
3167301,2192
4314134,2196
4209201,2199
5107198,2199
4302584,2200
4318499,2200
4210555,2203
4318465,2204
4312005,2210
4314175,2212
4109104,2219
1712702,2223
5105309,2224
1711803,2231
2510709,2233
3158706,2234
4110052,2234
3103207,2243
3114907,2244
3527504,2249
3554656,2254
5214705,2259
4201653,2260
2407906,2261
4310413,2267
4309126,2269
4211850,2271
3513306,2274
2800100,2275
4313441,2277
4320453,2281
3132800,2283
4214102,2284
1715150,2286
3507456,2293
2414308,2295
4322343,2296
5209457,2299
5212055,2300
4302055,2307
4321626,2314
1101468,2315
1703883,2316
2413805,2317
4115903,2327
4302378,2328
3557154,2335
5215801,2335
4310579,2344
3125200,2350
4316972,2352
4211892,2353
5213855,2356
3142502,2360
2500577,2366
4301958,2367
1718451,2369
4212056,2373
5212600,2374
5209291,2376
2504108,2378
4215554,2382
1700251,2391
3544707,2395
5104500,2397
2502201,2400
2207934,2407
4124301,2408
4305157,2417
1708254,2419
2513943,2420
4305587,2420
3514957,2423
4200556,2424
2401651,2425
4302238,2425
5201454,2427
4215059,2436
4313334,2437
2200954,2440
4302220,2441
1711100,2445
3113800,2446
4320651,2449
4313086,2450
4322376,2450
5202809,2450
4101853,2453
1715259,2457
4305850,2457
4204459,2458
4305871,2459
4317954,2461
3155009,2465
4128302,2466
3124609,2470
4312138,2470
1720002,2474
4205555,2474
5200159,2477
4308433,2479
5207105,2479
2203859,2482
4218954,2482
4315149,2484
4311429,2487
4125902,2491
5107768,2491
3503158,2493
2517100,2504
2505303,2505
3109808,2505
4310876,2507
4210852,2513
4314456,2513
3540309,2518
1719004,2523
2411429,2526
4202537,2526
4311791,2527
4120200,2530
3145505,2533
3167509,2537
3534500,2537
4315057,2542
3547403,2543
4108106,2543
4315958,2546
4306551,2550
3172202,2553
3536901,2558
2208551,2559
5203939,2560
2210375,2561
1720978,2562
1704105,2566
3549201,2566
4308052,2567
1718709,2570
5107156,2572
3507753,2573
4110656,2578
4307864,2579
4310652,2584
2409605,2590
3163607,2592
4303558,2592
4316428,2595
2405900,2601
4205431,2601
2405504,2607
2907400,2612
2513653,2615
2210979,2620
1712454,2622
4119251,2625
2207108,2626
3130804,2629
2605459,2630
3107000,2630
5205703,2632
3528858,2633
3510906,2634
4202156,2635
4318432,2635
4304697,2636
2513851,2638
3554607,2646
4319737,2647
4200051,2653
4213153,2654
2205540,2656
3515301,2658
3143609,2660
4311239,2662
5211602,2663
2406403,2668
3510104,2668
4316477,2669
4312385,2670
3533809,2673
3506201,2674
4215752,2677
5216007,2682
5213053,2685
4103404,2695
2509370,2702
3126406,2705
